Title,Genre,Runtime,Director,Release Date,Summary,Poster,TMDb Trailer
Wind River,"Crime, Drama, Mystery, Thriller",00:54:00,Taylor Sheridan,2017-08-18,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent whos investigating a teen girls murder on a remote Wyoming reservation.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMjU1OTUwM15BMl5BanBnXkFtZTgwMDg1NDQ2MjI@._V1_SX300.jpg,https://www.youtube.com/watch?v=CZgN0dpFoaE
conjuring 2,"Horror, Mystery, Thriller",01:56:00,James Wan,2016-06-10,A single mother and her four kids in London are being terrorized by evil spirits. Enter ghost hunters Ed and Lorraine Warren.,https://images-na.ssl-images-amazon.com/images/M/MV5BZjU5OWVlN2EtODNlYy00MjhhLWI0MDUtMTA3MmQ5MGMwYTZmXkEyXkFqcGdeQXVyNjE5MTM4MzY@._V1_SX300.jpg,https://www.youtube.com/watch?v=VFsmuRPClr4
Verses of Love,"Drama, Romance",01:58:00,Hanung Bramantyo,2008-02-28,"Polygamy, piety and personal principles collide for a charming and congenial young university student struggling in a four-way love triangle.",https://images-na.ssl-images-amazon.com/images/M/MV5BZmM2Y2Q3ZjktMmU5Ny00ZmIzLWJjYWEtYTIzZjQyZmM2NjZjXkEyXkFqcGdeQXVyNjUyMzY3MTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=0wLLD16zAts
Sarvopari Palakkaran,Comedy,00:50:00,Venugopan,2017-08-04,"In the course of a human trafficking investigation, a conservative cop crosses paths with an artist-activist in a clash of worldviews.",https://m.media-amazon.com/images/M/MV5BYmY4MzkyMDctZGYzNS00YmMyLTkwMzAtZWU0MzIxYjUzYzA2XkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_SX300.jpg,https://www.youtube.com/watch?v=KicXy115HSI
The Carter Effect,"Documentary, Sport",01:51:00,Sean Menard,2018-04-23,"Featuring eight-time NBA All-Star Vince Carter, this documentary takes an in-depth look at his impact on pop culture and the Canadian basketball scene.",https://images-na.ssl-images-amazon.com/images/M/MV5BOWY3ZDA5ZTItMGEwZi00OThjLWJlMzctZjhjNDgwOWE3M2ZmXkEyXkFqcGdeQXVyOTg4MDc4Nw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=D9uAuQCc3IE
Road Trip: Beer Pong,Comedy,01:53:00,Steve Rash,2009-08-11,"When three college pals hit the road to compete in a big-time beer pong tournament, their trip morphs into an outrageous odyssey.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4MTU5OTg4NF5BMl5BanBnXkFtZTcwNjc0NTU2Mg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=xZpM7P7WU0E
The Iron Giant,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",01:57:00,Brad Bird,1999-08-06,"Amid the backdrop of the Cold War, a 9-year-old boy befriends a colossal yet gentle robot that a paranoid government agent is intent on destroying.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNDU2Njk0OV5BMl5BanBnXkFtZTgwODc3Njc3NjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=fq2FZdvQXXg
Left Behind,"Action, Fantasy, Sci-Fi, Thriller",00:51:00,Vic Armstrong,2014-10-03,"After millions of people on Earth suddenly disappear, a pilot flying a plane stuck at 30,000 feet must find a way to ensure the passengers survival.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4MjA2OTQxMF5BMl5BanBnXkFtZTgwMjcyMTI2MjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=c1w_qrsAYsw
Zapped,"Comedy, Family, Fantasy",00:52:00,Peter DeLuise,2014-06-23,A girl discovers a dog-training app that can get boys to obey her every command. But she soon learns that it isnt the cure-all she had hoped for.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNjE0MDU2OV5BMl5BanBnXkFtZTgwMTQ5NjMxMjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=vcqcmib3eKI
A.X.L.,"Action, Adventure, Family, Sci-Fi, Thriller",02:53:00,Oliver Daly,2018-08-24,"Young motocross racer Miles Hill helps a top-secret robotic combat dog evade its ruthless creator and the military, who are in hot pursuit.",https://m.media-amazon.com/images/M/MV5BMzhmMWY5YzYtNGU0OS00OWExLWE4MTEtZjdmZTczNGEwNjhmXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,https://www.youtube.com/watch?v=--8nr2kt4uk
Angel Has Fallen,"Action, Thriller",01:56:00,Ric Roman Waugh,2019-08-23,Secret Service agent Mike Banning is caught in the crossfire when he’s framed for a deadly attack on the president and forced to run for his life.,https://m.media-amazon.com/images/M/MV5BYmRmMWZhZGItYzA4MC00ZDYyLWE0OTMtYmM0MWRiN2Q4NGU2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,https://www.youtube.com/watch?v=5U2AJvU3bl4
Nanny McPhee Returns,"Comedy, Family, Fantasy, War",00:52:00,Susanna White,2010-08-20,"When Nanny McPhee arrives at the Green farm, she uses magic and discipline to help frazzled Mrs. Green run things while her husband fights in the war.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDUxNDU4OF5BMl5BanBnXkFtZTcwNDk1NjM1Mw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=hicMZpkl9-w
Fuga di cervelli,Comedy,02:53:00,Paolo Ruffini,2013-11-21,"When Emilio learns that his longtime crush is going to the University of Oxford, he and his pals devise a plan to fake their way into the school.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzkxODQyOGYtYWFiNC00ZDNlLTgzZWEtNTA4ZDIwZjNhZDUzXkEyXkFqcGdeQXVyMTQ0MDE5OTI@._V1_SX300.jpg,https://www.youtube.com/watch?v=RNBpBv_FtiI
Field of Dreams,"Drama, Family, Fantasy, Sport",01:57:00,Phil Alden Robinson,1989-05-05,Kevin Costner stars as an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzk5OWY0YjAtYWU3ZS00Y2Q4LWFlNjItMzgwMTQ2MjIyMDFmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=sHTsQ9qePrQ
The Disappearance of Eleanor Rigby: Them,"Drama, Romance",02:53:00,Ned Benson,2014-09-12,"Told from two perspectives, this engrossing drama depicts the dissolving union of Eleanor and Conor, who begin drifting apart after a tragic event.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3MDY1NTM5M15BMl5BanBnXkFtZTgwODM0ODkyMjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=0dtk9yJDckw
Our Souls At Night,"Drama, Romance",02:51:00,Ritesh Batra,2017-09-29,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NzIxMjQxMl5BMl5BanBnXkFtZTgwNDMzNzY5MDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=lci71HjGvaM
The Darkest Dawn,"Action, Adventure, Sci-Fi",00:51:00,Drew Casson,2018-04-15,An aspiring filmmaker records the chaos of an alien invasion while struggling to stay alive with her sister and a bickering band of survivors.,https://images-na.ssl-images-amazon.com/images/M/MV5BOGU3ZWQyODQtNmQwMS00ODRlLTgyYjktMmJkOWM4MGVkODFhXkEyXkFqcGdeQXVyNTAzMTExMjA@._V1_SX300.jpg,https://www.youtube.com/watch?v=-2DugohmEC8
The Goldfinch,Drama,00:56:00,John Crowley,2019-09-13,"After the death of his mother in a bombing attack at a museum, the course of a young mans life becomes connected to the fate of a famed painting.",https://m.media-amazon.com/images/M/MV5BY2ZmNmUzNTctYTA3Mi00ZTg3LWFmMWMtYzU2ZjA3NDRmODIzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=IcG06hZooHM
Errementari: The Blacksmith and the Devil,"Fantasy, Horror",01:50:00,Paul Urkijo Alijo,2018-10-12,"A brutal blacksmith tortures a demon he blames for his misery, unaware a trespassing orphan is about to change everything. Based on Basque folklore.",https://images-na.ssl-images-amazon.com/images/M/MV5BMGEyZWJjZjgtOWEzOS00Njc5LTg2NWUtMGRlYzkzZmFhNzhmXkEyXkFqcGdeQXVyNTYzNDYzNjc@._V1_SX300.jpg,https://www.youtube.com/watch?v=V1E240HdoR0
House of Hummingbird,Drama,01:53:00,Bora Kim,2020-06-26,"Contending with family dysfunction, social expectations and love, a reserved teen in Seoul comes into her own as she begins to truly discover herself.",https://m.media-amazon.com/images/M/MV5BNmNkMzkwMGQtNGVhNy00N2EwLTgyYjktMzY4NDM5MDllMDllXkEyXkFqcGdeQXVyMjY3NDMzMzU@._V1_SX300.jpg,https://www.youtube.com/watch?v=66PCXNziOTs
Perfectos desconocidos,Comedy,00:54:00,Manolo Caro,2018-12-25,"An intimate dinner among friends turns into a provocative game where they must turn in their phones, answer all calls and read incoming messages aloud.",https://m.media-amazon.com/images/M/MV5BNzEzMzNhYzMtNmU4Yi00ZGIwLWI2YjUtYjdlMjc0MGQ1NjUxXkEyXkFqcGdeQXVyNjcwODg2NA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=XIc-4AwGKgM
The Last Sentence,"Biography, Drama",02:58:00,Jan Troell,2014-06-20,"As the Nazis near the Swedish border, journalist Torgny Segerstedt defies his nations complacency and speaks out against the growing menace.",http://ia.media-imdb.com/images/M/MV5BMTc4NzU4NzgxMF5BMl5BanBnXkFtZTgwNjQ4NzIwMjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=k5JhrXhehDI
Deliver Us from Evil,"Action, Adventure, Biography, Crime, Fantasy, Horror, Mystery, Thriller",00:59:00,Scott Derrickson,2014-07-02,"While investigating a bizarre case, a New York City police officer meets a priest who convinces him the incident is related to demonic possession.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MDMwNTY2MF5BMl5BanBnXkFtZTgwMjQ5MDE5MTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=j1SDtKoTkzc
Personal Shopper,"Drama, Mystery, Thriller",02:56:00,Olivier Assayas,2017-03-10,"A psychic medium takes a job as personal shopper for a spoiled celebrity in order to contact the spirit of her brother, who owned her employers home.",https://images-na.ssl-images-amazon.com/images/M/MV5BN2JhYTViMGUtMTU0Ni00MzU5LWE0ZmYtNDk2YTdmOTI5MTFjXkEyXkFqcGdeQXVyNTIyODMzMzA@._V1_SX300.jpg,https://www.youtube.com/watch?v=xC8AjoqpBAY
Annabelle Comes Home,"Horror, Mystery, Thriller",02:50:00,Gary Dauberman,2019-06-26,"A devilish doll presides over a haunted house of horrors, awakening evil spirits in the home of two demonologists and terrorizing their young daughter.",https://m.media-amazon.com/images/M/MV5BYmI4NDNiMmQtZTFkYi00ZDVmLThlYTAtMWJlMjU1M2I2ZmViXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=bCxm7cTpBAs
The Lady Shogun and Her Men,"Drama, Sci-Fi",01:53:00,Fuminori Kaneko,2010-10-01,"In a world where gender roles are reversed, a poor samurai enters the new shogun’s inner castle chambers just as her radical ideas threaten tradition.",https://m.media-amazon.com/images/M/MV5BYzUwOGMzNDMtMDkyNC00ZTEwLWFiZmYtZGE3ZDhlNjU0MDQ2XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg,https://www.youtube.com/watch?v=uC5pBIP7kig
Persona 3 The Movie: #4 Winter of Rebirth,"Animation, Action, Adventure, Family, Fantasy",00:54:00,Noriaki Akitaya,2013-11-23,"Familiar with death, Makoto and his team are still stunned by revelations about Ryoji and the events of ten years ago. One final choice remains.",https://m.media-amazon.com/images/M/MV5BMmNiOGNiNWUtNmQzYy00YzM5LThhNGUtOWZlZGIyNDgwYTI3XkEyXkFqcGdeQXVyMzUwNzgzNzg@._V1_SX300.jpg,https://www.youtube.com/watch?v=Q_LfR6mZ5o0
Fireman Sam: The Great Fire of PontyPandy,"Animation, Action, Adventure, Family",00:56:00,"Becky Bristow, Jerry Hibbert",2015-01-08,"Norman Price and his friend, Derek, accidentally create a raging wildfire that threatens Pontypandy. Sam considers an offer to leave Pontypandy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4MDk5NDczOF5BMl5BanBnXkFtZTgwODA2Mjg1MjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=HSC28g7qQqw
The Divergent Series: Allegiant - Part 1,"Action, Adventure, Mystery, Sci-Fi, Thriller",00:57:00,Robert Schwentke,2016-03-18,"Beatrice, Tobias, Caleb and a few others successfully manage to escape from their walled city into the forbidden world that lies outside.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjk2OTc5YzQtMjAwMS00YWY4LTk1ZWItOTgyMmRkMGU4ZmY1XkEyXkFqcGdeQXVyMzQ1MzUwMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=MJsDuGRiLqM
4 Kings,Drama,02:57:00,Theresa von Eltz,2015-11-19,"When a big bet sinks a con artist and his nephew into debt, they conspire with a magician and a dancer to rip off a casino owner for a big jackpot.",https://m.media-amazon.com/images/M/MV5BNzliOGQ5YWQtYmY5ZS00NDZhLThlYTctZDUyOTg5MzZhNTVlXkEyXkFqcGdeQXVyMTQ1MTgwOA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=dzgFHMfOtdw
The Bedside Detective,"Comedy, Romance",00:57:00,Komgrit Triwimol,2007-08-23,An apprentice private detective is hired to gather evidence of a wealthy mans infidelity but falls in love with his targets adorable girlfriend.,https://images-na.ssl-images-amazon.com/images/M/MV5BNWEzMjg2ZDItM2E3NC00OGYxLTk5YWQtNmExNjQ2ZjU0ODhlXkEyXkFqcGdeQXVyNTAyNDQ2NjI@._V1_SX300.jpg,https://www.youtube.com/watch?v=lH-5qyinikE
Asphalt Burning,"Action, Comedy",01:59:00,Hallvard Bræin,2021-01-02,"When the brakes slam on his wedding, Roy accepts a challenge from a new foe to race for his runaway bride at the iconic Nürburgring track in Germany.",https://m.media-amazon.com/images/M/MV5BOTFkZWJlMzUtNTAwYS00NzE5LTgxNTQtN2RkYzBhYzY1ZDY0XkEyXkFqcGdeQXVyNTY3MTY3MzE@._V1_SX300.jpg,https://www.youtube.com/watch?v=ViUFEs5cyhY
What We Wanted,Drama,00:54:00,Ulrike Kofler,2020-11-11,A couple facing fertility issues finds their marriage tested on a vacation to a Sardinian resort — and the family next door only adds to the tension.,https://m.media-amazon.com/images/M/MV5BNmU5MjM5MzktM2U0OS00M2RkLWFiMjctZTJiNjU0MmNlMjBmXkEyXkFqcGdeQXVyMjIxNTg0MDQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=MJb-eUFqzP8
Obsessed,Drama,01:54:00,Dae-woo Kim,2014-05-14,"In a Korean military camp in 1969, a married colonel falls madly in love with the beautiful wife of his new subordinate officer.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTdjZTZiOWYtYWY3Yi00NjcwLWJlNzYtYjUwYTZhOGJjYmQ1XkEyXkFqcGdeQXVyNjQ3NjUzMzA@._V1_SX300.jpg,https://www.youtube.com/watch?v=40NSEn733iU
Time Trap,"Action, Adventure, Mystery, Sci-Fi",01:53:00,"Mark Dennis, Ben Foster",2018-11-02,"While searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface.",https://m.media-amazon.com/images/M/MV5BMGE0ZGYwZjItMmQ2MC00MjMzLTk1NWEtM2ZlNDE5ZWVmOTAyL2ltYWdlXkEyXkFqcGdeQXVyMjA1NjczMDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=h2-_WUdzw54
The Imitation Game,"Biography, Drama, Thriller, War",02:53:00,Morten Tyldum,2014-12-25,"During World War II, a brilliant mathematician leads a team of cryptanalysts as they work feverishly to break the Germans notorious Enigma code.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTgwMzFiMWYtZDhlNS00ODNkLWJiODAtZDVhNzgyNzJhYjQ4L2ltYWdlXkEyXkFqcGdeQXVyNzEzOTYxNTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=j2jRs4EAvWM
Mike Epps: Only One Mike,Comedy,01:53:00,Kevin Bray,2019-06-25,"In a raw stand-up comedy special, Mike Epps mixes it up as he tackles sexual misconduct, special ed, aging body parts and much more.",https://m.media-amazon.com/images/M/MV5BZTAzZWQ4NDYtOGY0OC00MWQ3LWJkYTYtMDQwMGQwZTVmYWQxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=bw7m7VeVy5Y
The Equalizer,"Action, Crime, Thriller",01:54:00,Antoine Fuqua,2014-09-26,Retired intelligence operative Robert McCall reluctantly returns to action to protect a young prostitute from brutal members of the Russian Mafia.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MzE2NTk0NF5BMl5BanBnXkFtZTgwOTM3NTk1MjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=VjctHUEmutw
The Intouchables,"Biography, Comedy, Drama",01:54:00,"Olivier Nakache, Éric Toledano",2011-11-02,"Based on a true story, a quadriplegic aristocrats world is turned upside down when he hires a good-humored ex-con as his caretaker.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=34WIbmXkewU
Friend,"Action, Crime, Drama",00:59:00,Kyung-taek Kwak,2001-03-31,"After growing up as best friends, four boys begin to follow their separate paths. Years later they reunite, and a dangerous new rivalry is born.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5ODc5MDQzNV5BMl5BanBnXkFtZTgwOTY1OTk1MDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=irAI8bv1ubs
Pilgrimage,"Action, Drama, History",01:53:00,Brendan Muldowney,2017-08-11,"In 13th-century Ireland, a motley group of monks takes on a perilous mission to deliver a precious ancient relic to Rome.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyNDQyMjkwOF5BMl5BanBnXkFtZTgwMTQ5MjY4MjI@._V1_SX300.jpg,https://www.youtube.com/watch?v=MQZ7_Uo0OI0
Million Dollar Baby,"Drama, Sport",01:53:00,Clint Eastwood,2005-01-28,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isnt prepared for boxer Maggie Fitzgerald to enter his life.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=5_RsHRmIRBY
Autumn in New York,"Drama, Romance",02:57:00,Joan Chen,2000-08-11,"A middle-aged playboy in the Big Apple experiences true love for the first time when he falls for a young, vibrant woman harboring a tragic secret.",https://images-na.ssl-images-amazon.com/images/M/MV5BMWFlM2VmYTUtZmFmMC00N2Y1LWE3NmUtYWI5MWZiMTY3NDRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=U1K6d26T9f4
Amok,"Crime, Thriller",02:54:00,Kasia Adamik,2017-03-24,"Long after a murder case has gone cold, the police receive a tantalizing tip -- the killer may have written a novel about the crime.",https://m.media-amazon.com/images/M/MV5BMTlkYmU4ZDEtZmJmMi00YTE0LWEyNmUtMzNlZjNkYzNkMmJkXkEyXkFqcGdeQXVyMjMwOTA0Ng@@._V1_SX300.jpg,https://www.youtube.com/watch?v=npOov_1reAQ
Posesif,"Drama, Romance",00:55:00,Edwin,2017-10-26,A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance.,https://m.media-amazon.com/images/M/MV5BNmY3ZDYxYzMtNTM3OC00Y2M2LTgwMjctNmFmMTZjZmUxZjhiXkEyXkFqcGdeQXVyMjQyMDc0MzQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=5XyMy7Z5SO4
Sprinter,"Drama, Sport",00:56:00,Storm Saulter,2019-09-06,"When a Jamaican teen hopes to use track to reunite him with his mother in America, family dysfunction at home threatens to knock his plans off course.",https://m.media-amazon.com/images/M/MV5BNGNlMTU1YjAtYjViYS00YTRkLTg3ZmMtODU2ODM0YWU1YTk4XkEyXkFqcGdeQXVyMjA2OTE4OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Br3bgLHq-Ro
Lola,"Drama, Romance",00:50:00,Rainer Werner Fassbinder,1982-08-04,"Awaiting her former lovers return, a cabaret chanteuse attracts the affections of a sailor and a childhood friend who begins to fall for her again.",https://m.media-amazon.com/images/M/MV5BOThhMjNlNDktNmQ0Zi00OWY4LThiZjUtYjYxY2EyYThmMjVkXkEyXkFqcGdeQXVyMzIzODAxODE@._V1_SX300.jpg,https://www.youtube.com/watch?v=BdaFOcn84mM
To the Woods,"Comedy, Romance",01:57:00,Tomás Vorel,2012-10-04,"While conflict with the new residents arises, a villager refusing to join his familys farming business meets a young woman enamored with nature.",https://m.media-amazon.com/images/M/MV5BODhkNzU5NmQtM2QxNC00MWEzLThkOGItOTBhMjUyOTdiY2M2XkEyXkFqcGdeQXVyMjIxMzMyMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Y6mh1QiMPDE
First Reformed,"Drama, Mystery, Thriller",00:58:00,Paul Schrader,2018-05-18,"In the throes of a spiritual crisis, a pastor counsels a pregnant parishioners desperate husband and finds the ground falling out from beneath him.",https://m.media-amazon.com/images/M/MV5BZDI1MGIyZDMtYjAyMy00ZWE1LTgzYjctYzM5MzczNjFjZWQwXkEyXkFqcGdeQXVyODQyNzE3MDg@._V1_SX300.jpg,https://www.youtube.com/watch?v=hCF5Y8dQpR4
Loving Vincent,"Animation, Biography, Crime, Drama, Family, Mystery",02:57:00,"Hugh Welchman, Dorota Kobiela",2017-09-22,"Rendered in the style of the beloved Dutch master, this animated biopic recounts the tortured last days of Vincent van Gogh.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NjE2NjgwN15BMl5BanBnXkFtZTgwNDYzMzEwMzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=2ZX7OANSoAg
The Devils Ballad,"Drama, History, Horror",02:51:00,Andrzej Zulawski,1988-03-01,"Asked to solve an old murder, detective Kindaichi finds himself caught up in an ancient curse terrorizing a remote town beset with age-old traditions.",https://m.media-amazon.com/images/M/MV5BYmNlNTNlMDUtOTljMi00YWRmLWJhMjUtNmQyYjczNTM0YmI4XkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_SX300.jpg,https://vimeo.com/33434910
Invaders from Mars,"Horror, Sci-Fi",01:59:00,Tobe Hooper,1986-06-06,David is the only one who knows the truth about the aliens that are invading his small town in this remake of the 1950s sci-fi classic.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzg4NmY3ZGYtMDcxZi00ODdhLTg1YTUtYzNmNjMyYjkxNDVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=Ms8_WIwKNTk
Alexander: Directors Cut,"Action, Biography, Drama, History, War",01:55:00,Oliver Stone,2004-11-24,"Oliver Stone takes on the saga of Alexander the Great, the legendary Macedonian warrior whose leadership was unflinching and his politics cunning.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NDQ3OTY2NDVeQTJeQWpwZ15BbWU3MDI5MDc0MzM@._V1_SX300.jpg,https://www.youtube.com/watch?v=Bh6LKIdxqCU
Jeff Dunham: All Over the Map,Comedy,00:59:00,Rob Dipple,2014-11-16,"Americas most beloved ventriloquist hits the road, bringing along all of his most popular pals, including Achmed, Peanut and Walter.",https://images-na.ssl-images-amazon.com/images/M/MV5BY2JhZWFiZjAtY2JlYS00MmJmLWE4ZjktZTc2NGE0YzBkZjQxL2ltYWdlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=a-03doDgXxw
The Honor List,Drama,02:57:00,Elissa Down,2018-05-11,Former best friends reunite to celebrate life and cope with death by crossing off items on a bucket list during the summer before senior year.,https://m.media-amazon.com/images/M/MV5BMTYzMzM5NTQzMF5BMl5BanBnXkFtZTgwNDA4OTQxNTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=28sX6MExVDE
Ride Your Wave,"Animation, Comedy, Drama, Family, Fantasy, Romance",02:52:00,Masaaki Yuasa,2020-02-19,Hinako is heartbroken when her boyfriend drowns – until she discovers that he reappears in water when she sings their favorite song.,https://m.media-amazon.com/images/M/MV5BMWE0NjdiMTAtMzY3My00NzUxLTljMDMtNmYxNmRiYmQxZmM0XkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Cl1AI-3zcnk
Dr Jason Leong Hashtag Blessed,Comedy,02:53:00,Kubhaer T. Jethwani,2020-09-16,"In this stand-up special, former doctor Jason Leong gives his diagnoses on the nonsense of traditional healers, business-class show-offs and more.",https://m.media-amazon.com/images/M/MV5BOGE2MDQyODQtMGU3Mi00NDBmLWEyOWQtMWI2YjRjMTMzODU0XkEyXkFqcGdeQXVyMzkzNDg4MTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=KUHwOK-Ch_A
ReMastered: The Miami Showband Massacre,"Documentary, Crime, Music",02:54:00,Stuart Sender,2019-03-22,The killing of three members of the Miami Showband sent shock waves across Ireland in 1975. Now one survivor doggedly pursues the truth.,https://m.media-amazon.com/images/M/MV5BZDQzMTVjOTUtY2NhZi00M2I2LWIxZmItOTk0YjhjZTMxNTA2XkEyXkFqcGdeQXVyMzUzNTcwNDk@._V1_SX300.jpg,https://www.youtube.com/watch?v=cbqtbmYbibc
Pretty Little Stalker,"Drama, Mystery, Thriller",00:54:00,Sam Irvin,2019-11-19,"When a self-help writers advice goes wrong, she finds herself in the crosshairs of an obsessive young woman with a thirst for vengeance.",https://m.media-amazon.com/images/M/MV5BODAyOTRlYTgtOWY2OS00YzcwLTgyZGQtZWNiMDNmZjI2M2Q1XkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_SX300.jpg,https://www.youtube.com/watch?v=rtmYnk0J3Ks
5 Fingers for Marseilles,"Drama, Thriller, Western",00:53:00,Michael Matthews,2018-09-07,"In this Western set in post-apartheid South Africa, a now-brutal man comes home to find peace, only to find that a new threat has taken over his town.",https://ia.media-imdb.com/images/M/MV5BYjk0MmMxZjQtNDBiNC00N2RlLTg3OWItMWE2NDRkZjJmMWE3XkEyXkFqcGdeQXVyNDU1MTgzNzk@._V1_SX300.jpg,https://www.youtube.com/watch?v=hWT0hJhMZwk
The Fast and the Furious: Tokyo Drift,"Action, Crime, Thriller",01:58:00,Justin Lin,2006-06-16,"The hit franchises third installment finds street-racer Shaun Boswell moving to Tokyo, where hes been dispatched by his concerned family members.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NTMxODEyNV5BMl5BanBnXkFtZTcwMDgxMjA0MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=xZ96tl5MrfU
This Means War,"Action, Comedy, Romance",00:56:00,McG,2012-02-17,"Each determined to win the heart of a sexy blonde bombshell, two best friends and CIA spies turn their secret-agent skills against each other.",http://ia.media-imdb.com/images/M/MV5BMTYyOTQ4MDE2MV5BMl5BanBnXkFtZTcwOTE0MTgwNw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=oleuD8479uM
Pants on Fire,"Comedy, Family",01:58:00,Jonathan A. Rosenbaum,2014-11-09,Jealous girlfriends and aliens are just some of the things Jack lied about to become popular. Now the lies are coming to life and ruining everything.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTQyMTgzMjY0NF5BMl5BanBnXkFtZTgwODc4NjU0MzE@._V1_SX300.jpg,https://www.youtube.com/watch?v=raYsuSaNN7k
